 			recordClassName	targetType	name	displayName	shortDisplayName	description	geneOrTranscript	displayOrder	scope	scope	scope
			eupath/eupath.owl#recordClassName	eupath/eupath.owl#targetType	eupath/eupath.owl#name	EUPATH_0000052	eupath/eupath.owl#shortDisplayName	eupath/eupath.owl#description	eupath/eupath.owl#geneOrTranscript	EUPATH_0000274	eupath/eupath.owl#scope	eupath/eupath.owl#scope	eupath/eupath.owl#scope
##  Custom Categories ##													
													
GenomicSequenceLocationCategory					GenomicSequenceLocationCategory	Genomic Location				6			
TextCategory					TextCategory	Text				1			
													
## Gene Questions ##													
													
GeneRecordClasses.GeneRecordClass.GeneQuestions.GeneTextSearch	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GeneTextSearch						menu	webservice	
GeneRecordClasses.GeneRecordClass.GeneQuestions.GeneByIdentifier	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GeneByIdentifier						menu	webservice	
GeneRecordClasses.GeneRecordClass.GeneQuestions.GeneUpload	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GeneUpload						menu		
GeneRecordClasses.GeneRecordClass.GeneQuestions.GenesByProteomics_QuantitativeMassSpec	http://edamontology.org/topic_0121	searchCategory-proteomics-fold-change	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GenesByProteomics_QuantitativeMassSpec						menu		
GeneRecordClasses.GeneRecordClass.GeneQuestions.GenesByTranscriptomics_FC	http://edamontology.org/topic_3308	searchCategory-transcriptomics-fold-change	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GenesByTranscriptomics_FC						menu		
GeneRecordClasses.GeneRecordClass.GeneQuestions.GenesByTranscriptomics_Expression	http://edamontology.org/topic_3308	searchCategory-transcriptomics-percentile	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GenesByTranscriptomics_Expression						menu		
GeneRecordClasses.GeneRecordClass.GeneQuestions.GenesByTranscriptomics	http://edamontology.org/topic_3308	searchCategory-transcriptomics	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GenesByTranscriptomics								
													
													
													
													
													
## Gene Attributes ##													
													
GeneRecordClasses.GeneRecordClass.source_id	http://edamontology.org/topic_0219	annot and cur	GeneRecordClasses.GeneRecordClass	attribute	source_id				gene		record-internal		download
GeneRecordClasses.GeneRecordClass.sequence_id	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	sequence_id				gene		results	record-internal	download
